vot_parCodigo,parDenominacion
0008,FEDERAL                                      
0014,OBRERO                                       
0022,HUMANISTA                                    
0040,MOV. LIBRES DEL SUR                          
0045,DE LOS TRABAJADORES SOCIALISTAS (PTS)        
0112,LABORISTA                                    
0119,FTE. DE PUEBLO UNIDO                         
0124,IZQUIERDA UNIDA                              
0130,FUERZA REPUBLICANA                           
0501,AL. FTE. PARA LA VICTORIA                    
0527,AL. FTE. UNION PRO - FEDERAL                 
0536,AL. FTE. ACUERDO CIVICO Y SOCIAL             
0563,AL. CON CONCIENC. VOLUNT. SOLID. (CON CO-VOS)
