"","vot_parCodigo","parDenominacion"
"1","0038","    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   "
"2","0060","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        "
"3","0136","ALIANZA FRENTE POPULAR                                                                              "
"4","0137","ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   "
"5","0177","PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       "
"6","0501","ALIANZA FRENTE PARA LA VICTORIA                                                                     "
"7","0522","ALIANZA FRENTE CAMBIEMOS                                                                            "
