"","vot_parCodigo","parDenominacion"
"1","0064","PRO PROPUESTA REPUBLICANA                                                                           "
"2","0181","FUERZA REPUBLICANA                                                                                  "
"3","0186","LABORISTA DE LA INDEPENDENCIA                                                                       "
"4","0501","FRENTE PARA LA VICTORIA                                                                             "
"5","0505","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           "
"6","0542","ALTERNATIVA POPULAR                                                                                 "
"7","0543","FRENTE ACUERDO CIVICO Y SOCIAL                                                                      "
