vot_parCodigo,parDenominacion
0038,    MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                   
0060,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        
0136,ALIANZA FRENTE POPULAR                                                                              
0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0177,PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       
0501,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0522,ALIANZA FRENTE CAMBIEMOS                                                                            
