"","codprov","depto","coddepto","circuito","mesa","electores","blancos","nulos","0060","0064","0181","0185","0186","0188","0501","0505","0542","0543"
"71","23","Capital","001","0003 ","0071",339,2,2,3,25,12,0,10,3,26,15,6,157
"72","23","Capital","001","0003 ","0072",340,1,2,2,23,13,3,12,1,30,15,7,155
"73","23","Capital","001","0003 ","0073",341,3,2,3,27,10,4,11,1,31,21,7,146
"74","23","Capital","001","0003 ","0074",339,0,1,1,16,18,0,6,3,37,25,3,134
"75","23","Capital","001","0003 ","0075",340,0,3,1,22,12,1,6,5,38,16,8,151
"76","23","Capital","001","0003 ","0076",339,5,1,0,11,14,2,13,2,32,12,11,138
"77","23","Capital","001","0003 ","0077",340,0,4,3,15,16,4,6,0,37,17,10,139
"78","23","Capital","001","0003 ","0078",340,6,3,2,20,15,1,6,0,32,29,7,129
"79","23","Capital","001","0003 ","0079",340,1,2,5,17,11,2,5,3,43,21,11,144
"80","23","Capital","001","0003 ","0080",340,2,3,2,22,13,1,8,5,33,15,7,151
"81","23","Capital","001","0004 ","0081",339,2,3,0,24,25,4,5,1,44,14,10,130
"82","23","Capital","001","0004 ","0082",338,1,8,1,12,13,2,9,2,31,24,6,141
"83","23","Capital","001","0004 ","0083",338,2,4,0,27,15,0,7,1,31,22,10,139
"84","23","Capital","001","0004 ","0084",338,2,7,3,24,20,0,10,5,35,24,8,128
"85","23","Capital","001","0004 ","0085",338,4,1,0,11,18,3,8,2,25,16,14,152
"86","23","Capital","001","0004 ","0086",341,1,6,4,14,13,3,10,0,42,19,7,130
"87","23","Capital","001","0004 ","0087",338,4,3,1,28,17,0,8,2,34,28,6,131
"88","23","Capital","001","0004 ","0088",338,4,3,2,22,16,1,18,2,33,20,5,142
"89","23","Capital","001","0004 ","0089",338,3,5,0,22,17,2,8,3,38,24,8,142
"90","23","Capital","001","0004 ","0090",337,4,4,3,26,17,3,9,3,24,18,5,139
"91","23","Capital","001","0004 ","0091",337,2,7,1,26,17,1,11,2,41,16,9,132
"92","23","Capital","001","0004 ","0092",337,2,3,1,13,14,3,10,5,38,20,3,140
"93","23","Capital","001","0004 ","0093",336,0,4,3,13,13,4,9,0,32,16,7,146
"94","23","Capital","001","0004 ","0094",337,1,2,2,21,19,1,4,2,41,22,3,127
"95","23","Capital","001","0004 ","0095",336,3,4,2,13,11,1,9,2,53,20,5,121
"96","23","Capital","001","0004 ","0096",336,1,1,0,16,15,1,11,1,34,19,10,155
"97","23","Capital","001","0004 ","0097",337,3,3,0,7,16,2,5,0,31,16,9,168
"98","23","Capital","001","0004 ","0098",337,0,0,4,19,17,0,6,1,24,25,8,162
"99","23","Capital","001","0004 ","0099",337,3,4,0,21,16,2,6,2,36,22,9,142
"100","23","Capital","001","0005 ","0100",340,1,5,1,25,11,1,14,1,28,13,5,170
"101","23","Capital","001","0005 ","0101",341,4,1,1,33,8,0,10,4,24,19,3,165
"102","23","Capital","001","0005 ","0102",340,2,3,3,37,10,0,9,2,28,11,1,164
"103","23","Capital","001","0005 ","0103",338,1,0,0,24,11,1,7,3,25,16,3,164
"104","23","Capital","001","0005 ","0104",340,2,2,0,34,6,0,11,5,24,10,2,162
"105","23","Capital","001","0005 ","0105",338,4,5,0,27,10,1,4,15,24,18,7,133
"106","23","Capital","001","0005 ","0106",340,2,1,1,32,12,0,12,2,26,8,2,168
"107","23","Capital","001","0005 ","0107",341,0,0,3,30,8,1,11,1,28,0,0,155
"108","23","Capital","001","0005 ","0108",339,3,2,2,23,7,1,15,1,19,11,3,181
"109","23","Capital","001","0005 ","0109",339,1,3,1,26,4,0,12,1,29,11,5,169
"110","23","Capital","001","0005 ","0110",340,1,4,1,55,3,0,10,0,27,11,1,162
"111","23","Capital","001","0005 ","0111",340,0,4,1,35,6,1,21,2,21,9,6,162
"112","23","Capital","001","0005 ","0112",340,1,3,3,30,10,1,16,2,25,18,4,149
"113","23","Capital","001","0005 ","0113",341,0,2,0,23,4,1,12,3,22,18,2,174
"114","23","Capital","001","0005 ","0114",340,2,3,0,25,9,0,15,0,41,9,5,158
"115","23","Capital","001","0005 ","0115",341,2,4,0,31,11,1,7,0,23,12,7,155
"116","23","Capital","001","0005 ","0116",343,1,2,0,29,13,1,8,3,19,10,3,159
"117","23","Capital","001","0005 ","0117",340,1,2,1,26,9,1,12,2,15,7,4,180
"118","23","Capital","001","0005 ","0118",340,3,4,1,36,8,0,11,1,29,13,4,174
"119","23","Capital","001","0005 ","0119",340,2,2,1,67,10,1,15,0,18,14,7,172
"120","23","Capital","001","0005 ","0120",340,3,4,1,32,10,4,11,1,24,15,3,169
"121","23","Capital","001","0005 ","0121",340,2,1,2,48,5,2,12,1,20,8,10,162
"122","23","Capital","001","0005 ","0122",340,0,3,0,34,7,2,9,2,22,9,7,172
"123","23","Capital","001","0005 ","0123",340,0,1,2,15,10,0,11,1,39,18,2,154
"124","23","Capital","001","0005 ","0124",339,2,3,1,31,15,1,9,3,20,6,4,158
"125","23","Capital","001","0005 ","0125",340,5,1,5,25,8,3,12,1,20,12,1,180
"126","23","Capital","001","0005 ","0126",340,1,4,0,35,11,1,14,1,32,11,5,153
"127","23","Capital","001","0005 ","0127",341,3,1,0,29,6,0,7,2,19,15,9,175
"128","23","Capital","001","0005 ","0128",342,1,1,1,25,15,1,9,4,20,13,3,172
"129","23","Capital","001","0005 ","0129",340,3,2,3,19,10,1,11,0,23,10,8,161
"130","23","Capital","001","0006 ","0130",335,2,6,1,24,15,2,8,3,43,11,6,120
"131","23","Capital","001","0006 ","0131",335,0,2,2,19,15,2,6,0,41,12,3,140
"132","23","Capital","001","0006 ","0132",335,3,1,2,25,14,1,8,2,42,10,7,147
"133","23","Capital","001","0006 ","0133",334,2,4,1,21,18,1,16,0,36,13,5,139
"134","23","Capital","001","0006 ","0134",335,1,3,0,25,18,4,11,1,41,12,5,137
"135","23","Capital","001","0006 ","0135",333,3,2,0,17,18,0,10,1,32,6,7,156
"136","23","Capital","001","0006 ","0136",335,4,3,0,31,7,0,7,3,24,19,4,167
"137","23","Capital","001","0006 ","0137",336,2,1,1,32,10,2,7,0,40,13,3,143
"138","23","Capital","001","0006 ","0138",335,4,4,1,27,15,1,9,2,30,9,10,137
"139","23","Capital","001","0006 ","0139",335,3,1,1,20,13,5,5,1,34,15,7,157
"140","23","Capital","001","0006 ","0140",334,2,6,0,21,12,1,10,2,35,8,10,144
"141","23","Capital","001","0006 ","0141",334,1,1,1,21,16,1,9,1,34,24,7,136
