vot_parCodigo,parDenominacion
0003,Unión Cívica Radical                                                                                
0060,Movimiento Independiente de Jubilados y Desocupados                                                 
0131,Alianza Frente para la Victoria                                                                     
0134,Alianza Frente Amplio Progresista                                                                   
0135,Alianza Frente de Izquierda y de los Trabajadores                                                   
0177,Movimiento de Participación Ciudadana                                                               
0185,Partido Cambio Popular Tucumano                                                                     
