vot_parCodigo,parDenominacion
0038,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           
0170,MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               
0180,FUERZA REPUBLICANA                                                                                  
0503,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           
0521,CAMBIEMOS PARA EL BICENTENARIO                                                                      
0533,FRENTE AMPLIO TUCUMANO                                                                              
0548,FRENTE JUSTICIALISTA POR TUCUMAN                                                                    
