vot_parCodigo,parDenominacion
0131,ALIANZA FRENTE PARA LA VICTORIA                                                                     
0135,ALIANZA CAMBIEMOS                                                                                   
0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
0177,PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       
